snapped_at,price,market_cap,total_volume
2023-10-24 00:00:00 UTC,0.005592826116299596,2794739.8090610593,114106.21970659995
2023-10-25 00:00:00 UTC,0.005847290111504255,2926976.5797716263,83824.20846643783
2023-10-26 00:00:00 UTC,0.005875729785748282,2942150.896656283,105663.52258787169
2023-10-27 00:00:00 UTC,0.005548622662343387,2780139.426577559,108180.57154656354
2023-10-28 00:00:00 UTC,0.006040028373386741,3040169.837700077,115177.99574765311
2023-10-29 00:00:00 UTC,0.006301058233535452,3166355.533377354,101854.33635424389
2023-10-30 00:00:00 UTC,0.006433637933100604,3224777.2746469746,129964.25701272713
2023-10-31 00:00:00 UTC,0.006710219277448646,3363326.7116596852,105560.30234677151
2023-11-01 00:00:00 UTC,0.0067520178588602745,3391323.9902065825,123358.0005604048
2023-11-02 00:00:00 UTC,0.006706988897836492,3365518.0475656595,115346.2542196196
2023-11-03 00:00:00 UTC,0.006702986957996818,3370478.0691608344,123631.16302171221
2023-11-04 00:00:00 UTC,0.006828643953752694,3439782.1817580843,110412.01813371328
2023-11-05 00:00:00 UTC,0.006850604394196104,3451229.09360442,118049.12022539834
2023-11-06 00:00:00 UTC,0.007024823623692054,3536816.536224143,114819.4263549026
2023-11-07 00:00:00 UTC,0.006971804691614173,3509447.884435076,116477.04695680755
2023-11-08 00:00:00 UTC,0.0069307218392344935,3489966.3049146854,108558.51012788127
2023-11-09 00:00:00 UTC,0.007189224545547159,3617857.893610682,121417.04394399306
2023-11-10 00:00:00 UTC,0.00760170817106312,3822185.8628572314,111686.68470236407
2023-11-11 00:00:00 UTC,0.007867814333659158,3954318.3793459246,118350.38962509265
2023-11-12 00:00:00 UTC,0.007131650323366551,3589722.3873036825,108040.4669853055
2023-11-13 00:00:00 UTC,0.0072291156695093025,3656039.9410082735,111402.00511620955
2023-11-14 00:00:00 UTC,0.007201966075174243,3655215.4413029975,112049.61020934186
2023-11-15 00:00:00 UTC,0.006902061631665221,3498001.2317384863,115354.1469565715
2023-11-16 00:00:00 UTC,0.006893602904373177,3484851.4569600685,119183.31594118594
2023-11-17 00:00:00 UTC,0.006611068424259234,3346140.92877124,117131.02346504484
2023-11-18 00:00:00 UTC,0.006164190927745354,3119134.3716467316,117788.40545357237
2023-11-19 00:00:00 UTC,0.0061670237619930795,3127350.769802401,113652.33882141217
2023-11-20 00:00:00 UTC,0.0067167498195914044,3399211.623990214,110355.93172943837
2023-11-21 00:00:00 UTC,0.007020286954656413,3565869.4443300664,108326.6314752547
2023-11-22 00:00:00 UTC,0.007037734494759547,3569091.9390412667,96231.30897379044
2023-11-23 00:00:00 UTC,0.007672876098981329,3883566.8153982824,117416.71219021593
2023-11-24 00:00:00 UTC,0.007438348281354424,3782618.816431413,103258.27445709643
2023-11-25 00:00:00 UTC,0.007458481736056514,3780422.0422295206,88662.40143501629
2023-11-26 00:00:00 UTC,0.007596179655510021,3875420.285087788,90626.25999804192
2023-11-27 00:00:00 UTC,0.007463560328293257,3791858.6186904525,102691.03727519356
2023-11-28 00:00:00 UTC,0.007317207978516655,3723417.073986492,117613.48737204864
2023-11-29 00:00:00 UTC,0.0074186887668286515,3796626.346584458,102533.85223793749
2023-11-30 00:00:00 UTC,0.007170545199811144,3665962.6648772648,98285.4068089738
2023-12-01 00:00:00 UTC,0.007398467558228117,3772102.626383073,116079.2106286355
2023-12-02 00:00:00 UTC,0.0076193266345385355,3889278.203331403,110582.75626895482
2023-12-03 00:00:00 UTC,0.007875582386701854,3948238.494087097,101123.53467149854
2023-12-04 00:00:00 UTC,0.007565286859350712,3864971.30169874,94658.1595720129
2023-12-05 00:00:00 UTC,0.008007916992442134,4100968.043360148,87339.22465381944
2023-12-06 00:00:00 UTC,0.008121821163464816,4154165.637273639,112835.52491736565
2023-12-07 00:00:00 UTC,0.00794071468449086,4067870.910668784,104521.03085194697
2023-12-08 00:00:00 UTC,0.008910369850997881,4561203.100542197,101239.83860645043
